,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Emiliano Grillo,1,67,65,72,68,272,-8,"$1,566,000.00"
1,Adam Schenk,2,66,67,67,72,272,-8,"$948,300.00"
2,Scottie Scheffler,T3,67,67,72,67,273,-7,"$513,300.00"
3,Harry Hall,T3,62,66,72,73,273,-7,"$513,300.00"
4,Paul Haley II,5,73,68,66,67,274,-6,"$356,700.00"
5,Sam Burns,T6,67,70,70,68,275,-5,"$293,625.00"
6,Rickie Fowler,T6,68,71,69,67,275,-5,"$293,625.00"
7,Michael Kim,T6,67,71,70,67,275,-5,"$293,625.00"
8,Max Homa,T9,67,69,71,69,276,-4,"$237,075.00"
9,Mark Hubbard,T9,69,69,69,69,276,-4,"$237,075.00"
10,Kevin Streelman,T9,68,69,68,71,276,-4,"$237,075.00"
11,Justin Rose,T12,69,66,72,70,277,-3,"$178,350.00"
12,Harris English,T12,65,66,70,76,277,-3,"$178,350.00"
13,Chad Ramey,T12,68,69,69,71,277,-3,"$178,350.00"
14,Aaron Rai,T12,71,68,67,71,277,-3,"$178,350.00"
15,Russell Henley,T16,68,71,69,70,278,-2,"$132,675.00"
16,Viktor Hovland,T16,71,68,66,73,278,-2,"$132,675.00"
17,David Lipsky,T16,67,69,69,73,278,-2,"$132,675.00"
18,Austin Eckroat,T16,69,66,72,71,278,-2,"$132,675.00"
19,Justin Suh,T16,68,70,66,74,278,-2,"$132,675.00"
20,Christiaan Bezuidenhout,T21,70,68,70,71,279,-1,"$82,323.75"
21,Kramer Hickok,T21,70,69,71,69,279,-1,"$82,323.75"
22,Ryan Fox,T21,67,71,69,72,279,-1,"$82,323.75"
23,Thomas Detry,T21,70,68,71,70,279,-1,"$82,323.75"
24,Byeong Hun An,T21,67,66,72,74,279,-1,"$82,323.75"
25,Aaron Baddeley,T21,70,71,71,67,279,-1,"$82,323.75"
26,Carson Young,T21,69,66,75,69,279,-1,"$82,323.75"
27,Austin Smotherman,T21,67,73,70,69,279,-1,"$82,323.75"
28,Collin Morikawa,T29,73,67,70,70,280,E,"$50,104.09"
29,Kurt Kitayama,T29,70,71,71,68,280,E,"$50,104.10"
30,Si Woo Kim,T29,67,70,70,73,280,E,"$50,104.09"
31,Andrew Putnam,T29,66,70,70,74,280,E,"$50,104.09"
32,Brian Harman,T29,70,69,67,74,280,E,"$50,104.09"
33,Sepp Straka,T29,69,71,70,70,280,E,"$50,104.09"
34,Alex Noren,T29,68,69,74,69,280,E,"$50,104.09"
35,Lee Hodges,T29,69,67,74,70,280,E,"$50,104.09"
36,Sam Stevens,T29,71,66,72,71,280,E,"$50,104.09"
37,Robby Shelton,T29,66,67,76,71,280,E,"$50,104.09"
38,Peter Malnati,T29,69,67,72,72,280,E,"$50,104.09"
39,Billy Horschel,T40,67,74,70,70,281,+1,"$31,755.00"
40,Chez Reavie,T40,67,69,75,70,281,+1,"$31,755.00"
41,Luke Donald,T40,71,69,69,72,281,+1,"$31,755.00"
42,Alex Smalley,T40,70,71,68,72,281,+1,"$31,755.00"
43,Andrew Novak,T40,68,66,74,73,281,+1,"$31,755.00"
44,Jimmy Walker,T40,73,67,71,70,281,+1,"$31,755.00"
45,Scott Piercy,T40,69,68,72,72,281,+1,"$31,755.00"
46,Min Woo Lee,T40,67,71,70,73,281,+1,"$31,755.00"
47,Nick Hardy,T48,72,69,71,70,282,+2,"$22,881.00"
48,Matt NeSmith,T48,70,69,73,70,282,+2,"$22,881.00"
49,Patton Kizzire,T48,69,69,73,71,282,+2,"$22,881.00"
50,Vincent Norrman,T48,70,71,71,70,282,+2,"$22,881.00"
51,Tom Hoge,T52,66,74,69,74,283,+3,"$20,836.50"
52,Maverick McNealy,T52,71,70,74,68,283,+3,"$20,836.50"
53,Ben Griffin,T52,67,69,75,72,283,+3,"$20,836.50"
