,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Max Homa,1,65,67,72,68,272,-16,"$1,440,000.00"
1,Danny Willett,2,68,64,72,69,273,-15,"$872,000.00"
2,Taylor Montgomery,3,68,71,72,64,275,-13,"$552,000.00"
3,Justin Lower,T4,63,71,69,73,276,-12,"$360,000.00"
4,Byeong Hun An,T4,66,68,71,71,276,-12,"$360,000.00"
5,Nick Taylor,T6,67,75,67,68,277,-11,"$270,000.00"
6,Rickie Fowler,T6,67,72,69,69,277,-11,"$270,000.00"
7,Sahith Theegala,T6,67,69,71,70,277,-11,"$270,000.00"
8,Brendon Todd,T9,71,71,68,68,278,-10,"$218,000.00"
9,Harris English,T9,71,70,71,66,278,-10,"$218,000.00"
10,Davis Thompson,T9,68,73,65,72,278,-10,"$218,000.00"
11,Matt Kuchar,T12,68,68,70,73,279,-9,"$140,666.66"
12,Tom Hoge,T12,69,70,70,70,279,-9,"$140,666.67"
13,Adam Svensson,T12,68,71,67,73,279,-9,"$140,666.67"
14,Zac Blair,T12,70,69,69,71,279,-9,"$140,666.67"
15,Paul Haley II,T12,73,67,66,73,279,-9,"$140,666.66"
16,Joseph Bramlett,T12,68,71,70,70,279,-9,"$140,666.67"
17,Harrison Endycott,T12,72,70,65,72,279,-9,"$140,666.66"
18,Thomas Detry,T12,69,70,71,69,279,-9,"$140,666.67"
19,Brian Stuard,T12,68,69,71,71,279,-9,"$140,666.67"
20,Mark Hubbard,T21,70,70,67,73,280,-8,"$87,200.00"
21,Matt Wallace,T21,70,71,72,67,280,-8,"$87,200.00"
22,Zecheng Dou,T21,71,67,70,72,280,-8,"$87,200.00"
23,Robby Shelton,T21,67,70,74,69,280,-8,"$87,200.00"
24,Hideki Matsuyama,T25,69,72,75,65,281,-7,"$55,272.72"
25,Jimmy Walker,T25,70,71,69,71,281,-7,"$55,272.73"
26,Denny McCarthy,T25,71,70,69,71,281,-7,"$55,272.73"
27,Emiliano Grillo,T25,67,72,73,69,281,-7,"$55,272.73"
28,Mackenzie Hughes,T25,70,71,68,72,281,-7,"$55,272.73"
29,Beau Hossler,T25,70,72,69,70,281,-7,"$55,272.73"
30,Russell Knox,T25,70,71,70,70,281,-7,"$55,272.73"
31,Kramer Hickok,T25,71,70,68,72,281,-7,"$55,272.73"
32,Austin Smotherman,T25,71,69,67,74,281,-7,"$55,272.72"
33,Cameron Percy,T25,74,68,72,67,281,-7,"$55,272.72"
34,Ben Taylor,T25,69,69,72,71,281,-7,"$55,272.73"
35,Brandon Hagy,T36,69,73,68,72,282,-6,"$36,457.14"
36,Taylor Moore,T36,68,68,73,73,282,-6,"$36,457.14"
37,Alex Noren,T36,72,68,71,71,282,-6,"$36,457.15"
38,Will Gordon,T36,70,69,71,72,282,-6,"$36,457.14"
39,S.H. Kim,T36,66,72,71,73,282,-6,"$36,457.14"
40,Vincent Norrman,T36,70,69,71,72,282,-6,"$36,457.14"
41,Aaron Baddeley,T36,73,69,69,71,282,-6,"$36,457.15"
42,Andrew Putnam,T43,72,70,72,69,283,-5,"$24,760.00"
43,Chris Kirk,T43,74,68,67,74,283,-5,"$24,760.00"
44,Alex Smalley,T43,70,70,71,72,283,-5,"$24,760.00"
45,Wyndham Clark,T43,72,69,69,73,283,-5,"$24,760.00"
46,Stephan Jaeger,T43,69,70,73,71,283,-5,"$24,760.00"
47,Scott Harrington,T43,67,71,72,73,283,-5,"$24,760.00"
48,Brice Garnett,T43,67,75,71,70,283,-5,"$24,760.00"
49,Chris Stroud,T43,69,72,72,70,283,-5,"$24,760.00"
50,Chris Gotterup,T51,73,67,71,73,284,-4,"$19,480.00"
51,James Hahn,T51,71,68,72,73,284,-4,"$19,480.00"
52,Greyson Sigg,T51,67,73,73,71,284,-4,"$19,480.00"
53,Matthias Schwab,T51,70,69,72,73,284,-4,"$19,480.00"
54,Andrew Landry,T55,70,70,72,73,285,-3,"$18,560.00"
55,Jacob Bridgeman,T55,70,72,72,71,285,-3,"$18,560.00"
56,Adam Schenk,T55,69,72,70,74,285,-3,"$18,560.00"
57,Nate Lashley,T55,72,70,71,72,285,-3,"$18,560.00"
58,J.J. Spaun,T59,66,73,73,74,286,-2,"$17,840.00"
59,Troy Merritt,T59,71,69,71,75,286,-2,"$17,840.00"
60,Kevin Streelman,T59,68,71,72,75,286,-2,"$17,840.00"
61,Matti Schmid,T59,67,71,75,73,286,-2,"$17,840.00"
62,Brandt Snedeker,T59,70,69,72,75,286,-2,"$17,840.00"
63,Gary Woodland,T64,70,71,73,73,287,-1,"$17,280.00"
64,Austin Eckroat,T64,69,70,71,77,287,-1,"$17,280.00"
65,Lucas Glover,66,74,68,75,71,288,E,"$17,040.00"
66,Taylor Pendrith,T67,71,70,71,77,289,+1,"$16,720.00"
67,Nick Hardy,T67,71,70,71,77,289,+1,"$16,720.00"
68,Ben Martin,T67,69,68,73,79,289,+1,"$16,720.00"
69,Michael Thompson,T70,71,71,74,74,290,+2,"$16,320.00"
70,Nick Watney,T70,73,69,71,77,290,+2,"$16,320.00"
71,C.T. Pan,T72,70,71,77,74,292,+4,"$16,000.00"
72,Doug Ghim,T72,71,70,70,81,292,+4,"$16,000.00"
73,Webb Simpson,CUT,70,74,,,144,E,$0.00
74,Stewart Cink,CUT,74,71,,,145,+1,$0.00
75,Chez Reavie,CUT,73,70,,,143,-1,$0.00
76,Luke List,CUT,74,69,,,143,-1,$0.00
77,Martin Laird,CUT,71,73,,,144,E,$0.00
78,Jason Day,CUT,74,73,,,147,+3,$0.00
79,Ryan Brehm,CUT,71,73,,,144,E,$0.00
80,Jim Herman,CUT,71,82,,,153,+9,$0.00
81,Joel Dahmen,CUT,72,74,,,146,+2,$0.00
82,Robert Streb,CUT,71,74,,,145,+1,$0.00
83,Cam Davis,CUT,74,70,,,144,E,$0.00
84,Tyler Duncan,CUT,70,77,,,147,+3,$0.00
85,Trey Mullinax,CUT,74,71,,,145,+1,$0.00
86,Richy Werenski,CUT,71,73,,,144,E,$0.00
87,Chad Ramey,CUT,70,73,,,143,-1,$0.00
88,Cameron Champ,CUT,71,76,,,147,+3,$0.00
89,Garrick Higgo,CUT,75,73,,,148,+4,$0.00
90,Jason Dufner,CUT,72,73,,,145,+1,$0.00
91,Ryan Moore,CUT,77,70,,,147,+3,$0.00
92,John Augenstein,CUT,70,77,,,147,+3,$0.00
93,Charley Hoffman,CUT,74,70,,,144,E,$0.00
