,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Rory McIlroy,1,64,66,67,68,265,-15,"$1,575,000.00"
1,Robert MacIntyre,2,67,69,66,64,266,-14,"$985,500.00"
2,Byeong Hun An,T3,61,70,69,70,270,-10,"$468,450.00"
3,David Lingmerth,T3,66,70,66,68,270,-10,"$468,450.00"
4,Scottie Scheffler,T3,68,65,67,70,270,-10,"$468,450.00"
5,J.T. Poston,T6,69,66,65,71,271,-9,"$261,990.00"
6,Nicolai Højgaard,T6,70,63,71,67,271,-9,"$261,990.00"
7,Tyrrell Hatton,T6,69,62,71,69,271,-9,"$261,990.00"
8,Tommy Fleetwood,T6,70,66,63,72,271,-9,"$261,990.00"
9,Tom Kim,T6,66,65,67,73,271,-9,"$261,990.00"
10,Grant Forrest,11,69,65,70,68,272,-8,"$197,100.00"
11,Ewen Ferguson,T12,66,68,70,69,273,-7,"$151,007.15"
12,Ryan Fox,T12,69,67,67,70,273,-7,"$151,007.14"
13,Shane Lowry,T12,71,64,65,73,273,-7,"$151,007.14"
14,Jordan Smith,T12,68,69,68,68,273,-7,"$151,007.15"
15,Lee Hodges,T12,68,69,67,69,273,-7,"$151,007.14"
16,Max Homa,T12,66,68,67,72,273,-7,"$151,007.14"
17,Brian Harman,T12,67,65,67,74,273,-7,"$151,007.14"
18,Tom Hoge,T19,69,66,66,73,274,-6,"$105,750.00"
19,Sean Crocker,T19,69,68,67,70,274,-6,"$105,750.00"
20,Sam Burns,T19,67,65,71,71,274,-6,"$105,750.00"
21,Nick Taylor,T19,68,70,65,71,274,-6,"$105,750.00"
22,Corey Conners,T19,72,65,71,66,274,-6,"$105,750.00"
23,Garrick Higgo,T19,67,69,70,68,274,-6,"$105,750.00"
24,Calum Hill,T25,70,67,67,71,275,-5,"$73,597.50"
25,Viktor Hovland,T25,73,63,67,72,275,-5,"$73,597.50"
26,Thorbjørn Olesen,T25,67,68,68,72,275,-5,"$73,597.50"
27,Yannik Paul,T25,65,71,68,71,275,-5,"$73,597.50"
28,Marcel Schneider,T25,69,65,71,70,275,-5,"$73,597.50"
29,Romain Langasque,T25,70,65,70,70,275,-5,"$73,597.50"
30,Wyndham Clark,T25,68,67,70,70,275,-5,"$73,597.50"
31,Will Gordon,T25,66,69,70,70,275,-5,"$73,597.50"
32,Ben Griffin,T25,69,67,69,70,275,-5,"$73,597.50"
33,Gary Woodland,T25,70,68,66,71,275,-5,"$73,597.50"
34,Luke List,T35,69,69,65,73,276,-4,"$52,810.72"
35,Min Woo Lee,T35,68,69,69,70,276,-4,"$52,810.71"
36,Davis Riley,T35,63,73,67,73,276,-4,"$52,810.71"
37,Victor Perez,T35,69,69,68,70,276,-4,"$52,810.71"
38,Tapio Pulkkanen,T35,68,69,70,69,276,-4,"$52,810.71"
39,Tom McKibbin,T35,70,68,67,71,276,-4,"$52,810.72"
40,Alexander Björk,T35,71,66,68,71,276,-4,"$52,810.72"
41,Jorge Campillo,T42,70,68,68,71,277,-3,"$36,255.00"
42,Sebastian Soderberg,T42,67,67,68,75,277,-3,"$36,255.00"
43,Richie Ramsay,T42,71,67,67,72,277,-3,"$36,255.00"
44,Maximilian Kieffer,T42,69,69,65,74,277,-3,"$36,255.00"
45,Marcel Siem,T42,68,70,68,71,277,-3,"$36,255.00"
46,Padraig Harrington,T42,67,66,70,74,277,-3,"$36,255.00"
47,Matt Wallace,T42,72,65,69,71,277,-3,"$36,255.00"
48,Thomas Detry,T42,64,72,68,73,277,-3,"$36,255.00"
49,Xander Schauffele,T42,70,66,67,74,277,-3,"$36,255.00"
50,Rickie Fowler,T42,67,67,69,74,277,-3,"$36,255.00"
51,Ben Martin,T42,70,67,67,73,277,-3,"$36,255.00"
52,Andrew Putnam,T42,70,68,69,70,277,-3,"$36,255.00"
53,Kurt Kitayama,T54,71,65,72,70,278,-2,"$26,190.00"
54,Julien Brun,T54,66,72,69,71,278,-2,"$26,190.00"
55,Daniel Hillier,T54,68,66,72,72,278,-2,"$26,190.00"
56,Guido Migliozzi,T54,68,70,72,68,278,-2,"$26,190.00"
57,Joost Luiten,T54,70,67,68,73,278,-2,"$26,190.00"
58,Joakim Lagergren,T54,69,66,67,76,278,-2,"$26,190.00"
59,Harry Hall,T60,71,64,66,78,279,-1,"$23,220.00"
60,Dale Whitnell,T60,69,67,70,73,279,-1,"$23,220.00"
61,Eric Cole,T60,67,69,64,79,279,-1,"$23,220.00"
62,Lucas Herbert,T60,71,67,70,71,279,-1,"$23,220.00"
63,Justin Thomas,T60,68,69,69,73,279,-1,"$23,220.00"
64,Billy Horschel,T65,69,69,69,73,280,E,"$20,340.00"
65,Austin Eckroat,T65,71,67,72,70,280,E,"$20,340.00"
66,Ashun Wu,T65,68,68,69,75,280,E,"$20,340.00"
67,Antoine Rozner,T68,68,70,69,74,281,+1,"$19,170.00"
68,Erik van Rooyen,T68,72,63,73,73,281,+1,"$19,170.00"
69,Adria Arnaus,T68,69,69,67,76,281,+1,"$19,170.00"
70,Gavin Green,T68,69,66,72,74,281,+1,"$19,170.00"
71,K.H. Lee,72,65,70,70,77,282,+2,"$18,720.00"
72,Ben Taylor,73,70,68,68,77,283,+3,"$18,540.00"
73,Connor Syme,74,68,68,74,74,284,+4,"$18,360.00"
74,Dan Bradbury,75,69,68,71,77,285,+5,"$18,180.00"
75,Sami Valimaki,76,67,70,76,73,286,+6,"$18,000.00"
76,Matthew Jordan,77,69,69,69,80,287,+7,"$17,820.00"
77,Kalle Samooja,CUT,70,69,,,139,-1,$0.00
78,Oliver Wilson,CUT,69,70,,,139,-1,$0.00
79,Nicolai Von Dellingshausen,CUT,71,68,,,139,-1,$0.00
80,Mackenzie Hughes,CUT,69,70,,,139,-1,$0.00
81,Aaron Rai,CUT,71,68,,,139,-1,$0.00
82,Adam Scott,CUT,72,67,,,139,-1,$0.00
