,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Tom Hoge,T1,60,60,62,,182,-34,"$475,000.00"
1,Sahith Theegala,T1,60,60,62,,182,-34,"$475,000.00"
2,Ryan Palmer,T2,56,62,65,,183,-33,"$295,000.00"
3,Charley Hoffman,T2,56,62,65,,183,-33,"$295,000.00"
4,Harris English,T3,60,62,62,,184,-32,"$180,000.00"
5,Matt Kuchar,T3,60,62,62,,184,-32,"$180,000.00"
6,Max Homa,T4,58,65,63,,186,-30,"$142,000.00"
7,Kevin Kisner,T4,58,65,63,,186,-30,"$142,000.00"
8,Nelly Korda,T5,60,67,62,,189,-27,"$115,250.00"
9,Denny McCarthy,T5,60,67,62,,189,-27,"$115,250.00"
10,Trey Mullinax,T5,61,66,62,,189,-27,"$115,250.00"
11,Scott Stallings,T5,61,66,62,,189,-27,"$115,250.00"
12,Steve Stricker,T7,62,63,65,,190,-26,"$102,500.00"
13,Cameron Young,T7,62,63,65,,190,-26,"$102,500.00"
14,Corey Conners,T8,58,68,65,,191,-25,"$98,750.00"
15,K.H. Lee,T8,58,68,65,,191,-25,"$98,750.00"
16,Brian Harman,T8,60,69,62,,191,-25,"$98,750.00"
17,Sepp Straka,T8,60,69,62,,191,-25,"$98,750.00"
18,Jason Day,T10,61,61,70,,192,-24,"$93,750.00"
19,Billy Horschel,T10,61,61,70,,192,-24,"$93,750.00"
20,Maverick McNealy,T10,60,67,65,,192,-24,"$93,750.00"
21,Lexi Thompson,T10,60,67,65,,192,-24,"$93,750.00"
22,Keith Mitchell,T12,60,69,64,,193,-23,"$90,000.00"
23,J.J. Spaun,T12,60,69,64,,193,-23,"$90,000.00"
