,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Wyndham Clark,1,64,67,69,70,270,-10,"$3,600,000.00"
1,Rory McIlroy,2,65,67,69,70,271,-9,"$2,160,000.00"
2,Scottie Scheffler,3,67,68,68,70,273,-7,"$1,413,430.00"
3,Cameron Smith,4,69,67,71,67,274,-6,"$990,867.00"
4,Tommy Fleetwood,T5,73,69,70,63,275,-5,"$738,934.00"
5,Rickie Fowler,T5,62,68,70,75,275,-5,"$738,934.00"
6,Min Woo Lee,T5,69,65,74,67,275,-5,"$738,934.00"
7,Harris English,T8,67,66,71,72,276,-4,"$562,809.00"
8,Tom Kim,T8,73,68,66,69,276,-4,"$562,809.00"
9,Dustin Johnson,T10,64,70,71,72,277,-3,"$435,018.00"
10,Jon Rahm,T10,69,73,70,65,277,-3,"$435,018.00"
11,Xander Schauffele,T10,62,70,73,72,277,-3,"$435,018.00"
12,Austin Eckroat,T10,71,68,73,65,277,-3,"$435,018.00"
13,Russell Henley,T14,71,71,68,68,278,-2,"$332,343.00"
14,Patrick Cantlay,T14,71,71,67,69,278,-2,"$332,343.00"
15,Collin Morikawa,T14,71,69,69,69,278,-2,"$332,343.00"
16,Brooks Koepka,T17,71,69,70,69,279,-1,"$284,167.00"
17,Matt Fitzpatrick,T17,71,70,68,70,279,-1,"$284,167.00"
18,Viktor Hovland,19,69,70,69,72,280,E,"$258,662.00"
19,Ryutaro Nagano,T20,71,67,68,75,281,+1,"$200,152.00"
20,Shane Lowry,T20,72,70,68,71,281,+1,"$200,152.00"
21,Keith Mitchell,T20,68,71,71,71,281,+1,"$200,152.00"
22,Jordan Smith,T20,70,71,74,66,281,+1,"$200,152.00"
23,Bryson DeChambeau,T20,67,72,68,74,281,+1,"$200,152.00"
24,Nick Hardy,T20,70,69,75,67,281,+1,"$200,152.00"
25,Denny McCarthy,T20,71,67,73,70,281,+1,"$200,152.00"
26,Padraig Harrington,T27,73,69,67,73,282,+2,"$143,295.00"
27,Sergio Garcia,T27,70,71,71,70,282,+2,"$143,295.00"
