,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Matt McCarty,1,62,68,64,67,261,-23,"$1,350,000.00"
1,Stephan Jaeger,2,65,63,68,68,264,-20,"$817,500.00"
2,Lucas Glover,T3,69,66,68,62,265,-19,"$442,500.00"
3,Kevin Streelman,T3,64,69,63,69,265,-19,"$442,500.00"
4,Matti Schmid,5,70,67,67,62,266,-18,"$307,500.00"
5,Harris English,T6,66,64,66,71,267,-17,"$262,500.00"
6,Joe Highsmith,T6,66,68,62,71,267,-17,"$262,500.00"
7,Nick Hardy,T8,66,71,66,65,268,-16,"$219,375.00"
8,Lee Hodges,T8,66,65,70,67,268,-16,"$219,375.00"
9,Henrik Norlander,T8,62,68,70,68,268,-16,"$219,375.00"
10,Patrick Rodgers,T11,68,69,67,65,269,-15,"$137,625.00"
11,Seamus Power,T11,72,64,68,65,269,-15,"$137,625.00"
12,Tom Whitney,T11,68,68,68,65,269,-15,"$137,625.00"
13,Greyson Sigg,T11,67,69,67,66,269,-15,"$137,625.00"
14,Ben Griffin,T11,67,66,69,67,269,-15,"$137,625.00"
15,Carson Young,T11,65,67,69,68,269,-15,"$137,625.00"
16,Nico Echavarria,T11,66,69,67,67,269,-15,"$137,625.00"
17,Carl Yuan,T11,67,67,66,69,269,-15,"$137,625.00"
18,Beau Hossler,T11,66,67,66,70,269,-15,"$137,625.00"
19,Max McGreevy,T11,68,68,64,69,269,-15,"$137,625.00"
20,Wesley Bryan,T21,72,65,67,66,270,-14,"$81,750.00"
21,Richard Hoey,T21,66,69,68,67,270,-14,"$81,750.00"
22,Joseph Bramlett,T21,65,68,68,69,270,-14,"$81,750.00"
23,Chad Ramey,T21,69,66,64,71,270,-14,"$81,750.00"
24,Tyler Duncan,T25,66,67,72,66,271,-13,"$52,912.50"
25,Mac Meissner,T25,66,69,70,66,271,-13,"$52,912.50"
26,Ryo Hisatsune,T25,67,70,67,67,271,-13,"$52,912.50"
27,Trey Mullinax,T25,68,67,69,67,271,-13,"$52,912.50"
28,J.J. Spaun,T25,69,64,69,69,271,-13,"$52,912.50"
29,Alex Smalley,T25,67,69,66,69,271,-13,"$52,912.50"
30,Nick Taylor,T25,69,67,66,69,271,-13,"$52,912.50"
31,Doug Ghim,T25,65,70,66,70,271,-13,"$52,912.50"
32,Adam Svensson,T25,60,69,71,71,271,-13,"$52,912.50"
33,Kurt Kitayama,T25,65,70,64,72,271,-13,"$52,912.50"
34,Will Gordon,T35,67,70,67,68,272,-12,"$37,350.00"
35,Chris Kirk,T35,66,68,70,68,272,-12,"$37,350.00"
36,Daniel Berger,T35,72,65,65,70,272,-12,"$37,350.00"
37,Kevin Tway,T35,69,67,66,70,272,-12,"$37,350.00"
38,Harry Hall,T35,65,69,64,74,272,-12,"$37,350.00"
39,Sam Ryder,T40,64,66,74,69,273,-11,"$31,125.00"
40,Philip Knowles,T40,74,63,67,69,273,-11,"$31,125.00"
41,Joel Dahmen,T40,67,67,69,70,273,-11,"$31,125.00"
42,Patton Kizzire,T43,66,71,66,71,274,-10,"$26,625.00"
