,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scottie Scheffler,1,67,69,67,62,265,-19,$0.00
1,Tommy Fleetwood,2,67,64,69,66,266,-18,$0.00
2,Hideki Matsuyama,3,63,68,71,65,267,-17,$0.00
3,Victor Perez,4,70,67,68,63,268,-16,$0.00
4,Rory McIlroy,T5,68,69,66,66,269,-15,$0.00
5,Jon Rahm,T5,67,66,66,70,269,-15,$0.00
6,Nicolai Højgaard,7,70,70,62,68,270,-14,$0.00
7,Tom Kim,8,66,68,69,68,271,-13,$0.00
8,Corey Conners,T9,68,69,69,66,272,-12,$0.00
9,Jason Day,T9,69,68,67,68,272,-12,$0.00
10,Joaquin Niemann,T9,66,70,68,68,272,-12,$0.00
11,Thomas Detry,T9,71,63,69,69,272,-12,$0.00
12,Xander Schauffele,T9,65,66,68,73,272,-12,$0.00
13,Wyndham Clark,T14,75,68,65,65,273,-11,$0.00
14,Thorbjørn Olesen,T14,71,68,66,68,273,-11,$0.00
15,Christiaan Bezuidenhout,16,70,71,64,69,274,-10,$0.00
16,Erik van Rooyen,17,67,69,69,70,275,-9,$0.00
17,Alejandro Tosti,T18,68,69,69,70,276,-8,$0.00
18,C.T. Pan,T18,69,65,72,70,276,-8,$0.00
19,Matteo Manassero,T18,69,69,69,69,276,-8,$0.00
20,Ludvig Åberg,T18,68,70,66,72,276,-8,$0.00
21,Min Woo Lee,T22,76,65,68,68,277,-7,$0.00
22,Guido Migliozzi,T22,68,67,74,68,277,-7,$0.00
23,Collin Morikawa,T24,70,68,70,70,278,-6,$0.00
24,Byeong Hun An,T24,72,68,66,72,278,-6,$0.00
25,Matthias Schmid,T26,68,75,69,67,279,-5,$0.00
26,Carlos Ortiz,T26,68,70,70,71,279,-5,$0.00
27,Stephan Jaeger,T26,71,64,72,72,279,-5,$0.00
28,Shane Lowry,T26,71,71,66,71,279,-5,$0.00
29,Rafa Campos,T30,73,70,70,67,280,-4,$0.00
30,Viktor Hovland,T30,70,75,67,68,280,-4,$0.00
31,Nick Taylor,T30,70,73,68,69,280,-4,$0.00
32,Gavin Green,T33,74,69,69,69,281,-3,$0.00
33,Fabrizio Zanotti,T33,70,69,71,71,281,-3,$0.00
34,Nico Echavarria,T35,74,69,71,68,282,-2,$0.00
35,Tapio Pulkkanen,T35,69,72,71,70,282,-2,$0.00
36,Abraham Ancer,T35,70,71,71,70,282,-2,$0.00
37,Sepp Straka,T35,67,74,70,71,282,-2,$0.00
38,Ryan Fox,T35,67,73,68,74,282,-2,$0.00
39,Shubhankar Sharma,T40,70,69,72,72,283,-1,$0.00
40,Adrien Dumont de Chassart,T40,70,70,70,73,283,-1,$0.00
41,David Puig,T40,69,69,70,75,283,-1,$0.00
42,Kristoffer Ventura,T43,71,68,76,69,284,E,$0.00
43,Emiliano Grillo,T43,66,75,75,68,284,E,$0.00
44,Mito Pereira,T45,69,76,74,66,285,+1,$0.00
45,Gaganjeet Bhullar,T45,75,69,71,70,285,+1,$0.00
46,Alex Noren,T45,67,74,71,73,285,+1,$0.00
47,Sami Valimaki,T45,67,71,72,75,285,+1,$0.00
48,Adrian Meronk,T49,73,71,72,71,287,+3,$0.00
49,Keita Nakajima,T49,70,70,73,74,287,+3,$0.00
50,Joel Girrbach,T49,69,72,70,76,287,+3,$0.00
51,Kevin Yu,52,73,69,72,74,288,+4,$0.00
52,Zecheng Dou,53,69,70,77,73,289,+5,$0.00
53,Kiradech Aphibarnrat,54,74,73,72,71,290,+6,$0.00
54,Daniel Hillier,55,75,73,70,73,291,+7,$0.00
55,Yechun Yuan,56,70,72,78,72,292,+8,$0.00
56,Camilo Villegas,57,76,74,72,71,293,+9,$0.00
57,Matthieu Pavon,58,71,75,77,74,297,+13,$0.00
58,Matt Fitzpatrick,W/D,73,64,81,,218,+5,$0.00
59,Phachara Khongwatmai,W/D,70,75,74,,219,+6,$0.00
