,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Jake Knapp,1,67,64,63,71,265,-19,"$1,458,000.00"
1,Sami Valimaki,2,64,67,67,69,267,-17,"$882,900.00"
2,Stephan Jaeger,T3,68,68,69,65,270,-14,"$429,300.00"
3,Justin Lower,T3,70,66,66,68,270,-14,"$429,300.00"
4,C.T. Pan,T3,71,67,67,65,270,-14,"$429,300.00"
5,Patrick Rodgers,T6,66,70,68,67,271,-13,"$283,500.00"
6,Robert MacIntyre,T6,71,66,65,69,271,-13,"$283,500.00"
7,Erik van Rooyen,T8,63,69,70,70,272,-12,"$220,725.00"
8,Carson Young,T8,71,67,68,66,272,-12,"$220,725.00"
9,Andrew Novak,T8,66,68,69,69,272,-12,"$220,725.00"
10,Doug Ghim,T8,67,71,67,67,272,-12,"$220,725.00"
11,Chan Kim,T8,66,69,66,71,272,-12,"$220,725.00"
12,Tony Finau,T13,69,67,69,68,273,-11,"$145,125.00"
13,Brandon Wu,T13,71,67,66,69,273,-11,"$145,125.00"
14,Maverick McNealy,T13,70,70,67,66,273,-11,"$145,125.00"
15,Ben Silverman,T13,70,68,63,72,273,-11,"$145,125.00"
16,Alvaro Ortiz,T13,67,64,73,69,273,-11,"$145,125.00"
17,Henrik Norlander,T13,65,71,65,72,273,-11,"$145,125.00"
18,Keith Mitchell,T19,71,68,65,70,274,-10,"$99,549.00"
19,Aaron Rai,T19,68,70,69,67,274,-10,"$99,549.00"
20,Greyson Sigg,T19,71,68,68,67,274,-10,"$99,549.00"
21,Jorge Campillo,T19,67,70,67,70,274,-10,"$99,549.00"
22,Martin Trainer,T19,70,70,66,68,274,-10,"$99,549.00"
23,Nico Echavarria,T24,67,69,73,66,275,-9,"$61,695.00"
24,Cameron Champ,T24,66,71,67,71,275,-9,"$61,695.00"
25,Stuart Macdonald,T24,69,71,67,68,275,-9,"$61,695.00"
26,Davis Thompson,T24,70,70,64,71,275,-9,"$61,695.00"
27,Dylan Wu,T24,68,68,73,66,275,-9,"$61,695.00"
28,Chesson Hadley,T24,69,67,69,70,275,-9,"$61,695.00"
29,Aaron Baddeley,T24,68,70,69,68,275,-9,"$61,695.00"
30,Chandler Phillips,T24,69,69,69,68,275,-9,"$61,695.00"
31,Parker Coody,T24,72,68,67,68,275,-9,"$61,695.00"
32,Emiliano Grillo,T33,69,67,67,73,276,-8,"$44,145.00"
33,Chad Ramey,T33,73,67,67,69,276,-8,"$44,145.00"
34,Matt Wallace,T33,66,65,71,74,276,-8,"$44,145.00"
35,Harry Hall,T33,69,71,71,65,276,-8,"$44,145.00"
36,James Hahn,T33,70,70,70,66,276,-8,"$44,145.00"
37,Austin Eckroat,T38,69,70,70,68,277,-7,"$32,805.00"
38,Joseph Bramlett,T38,66,70,67,74,277,-7,"$32,805.00"
39,Jimmy Stanger,T38,68,68,71,70,277,-7,"$32,805.00"
40,Kevin Dougherty,T38,72,64,71,70,277,-7,"$32,805.00"
41,William Furr,T38,69,70,68,70,277,-7,"$32,805.00"
42,Ryan McCormick,T38,70,70,68,69,277,-7,"$32,805.00"
43,Rafael Campos,T38,70,67,72,68,277,-7,"$32,805.00"
44,Hayden Springer,T38,69,70,69,69,277,-7,"$32,805.00"
45,Thorbjørn Olesen,T46,66,70,71,71,278,-6,"$25,515.00"
46,Santiago de la Fuente,T46,67,69,72,70,278,-6,$0.00
