,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scottie Scheffler,1,69,65,63,68,265,-19,"$3,600,000.00"
1,Sahith Theegala,2,66,67,67,68,268,-16,"$2,160,000.00"
2,Wyndham Clark,T3,72,66,66,65,269,-15,"$1,160,000.00"
3,Patrick Cantlay,T3,67,66,68,68,269,-15,"$1,160,000.00"
4,Justin Thomas,T5,69,68,68,65,270,-14,"$702,750.00"
5,Patrick Rodgers,T5,66,66,68,70,270,-14,"$702,750.00"
6,J.T. Poston,T5,63,68,70,69,270,-14,"$702,750.00"
7,Sepp Straka,T5,66,65,67,72,270,-14,"$702,750.00"
8,Collin Morikawa,9,65,66,68,72,271,-13,"$581,000.00"
9,Chris Kirk,T10,69,67,67,69,272,-12,"$521,000.00"
10,Ludvig Åberg,T10,66,66,68,72,272,-12,"$521,000.00"
11,Tony Finau,T12,70,69,69,65,273,-11,"$393,000.00"
12,Brian Harman,T12,70,69,70,64,273,-11,"$393,000.00"
13,Russell Henley,T12,67,69,69,68,273,-11,"$393,000.00"
14,Sungjae Im,T12,68,67,71,67,273,-11,"$393,000.00"
15,Seamus Power,T12,65,70,66,72,273,-11,"$393,000.00"
16,Austin Eckroat,17,66,69,72,67,274,-10,"$321,000.00"
17,Rickie Fowler,T18,70,71,67,67,275,-9,"$220,100.00"
18,Andrew Putnam,T18,70,69,69,67,275,-9,"$220,100.00"
19,Akshay Bhatia,T18,71,67,69,68,275,-9,"$220,100.00"
20,Jason Day,T18,68,69,72,66,275,-9,"$220,100.00"
21,Si Woo Kim,T18,68,69,67,71,275,-9,"$220,100.00"
22,Brice Garnett,T18,69,68,66,72,275,-9,"$220,100.00"
23,Xander Schauffele,T18,72,64,67,72,275,-9,"$220,100.00"
24,Tom Kim,T18,69,66,69,71,275,-9,"$220,100.00"
25,Stephan Jaeger,T18,67,68,67,73,275,-9,"$220,100.00"
26,Tom Hoge,T18,67,64,70,74,275,-9,"$220,100.00"
27,Harris English,T28,69,71,66,70,276,-8,"$136,500.00"
28,Denny McCarthy,T28,69,70,66,71,276,-8,"$136,500.00"
29,Christiaan Bezuidenhout,T28,68,70,73,65,276,-8,"$136,500.00"
30,Matt Fitzpatrick,T28,70,66,70,70,276,-8,"$136,500.00"
31,Thomas Detry,T28,68,68,67,73,276,-8,"$136,500.00"
32,Kurt Kitayama,T33,70,71,66,70,277,-7,"$106,166.67"
33,Alejandro Tosti,T33,69,70,65,73,277,-7,"$106,166.67"
34,Lucas Glover,T33,69,69,68,71,277,-7,"$106,166.67"
35,Eric Cole,T33,70,68,67,72,277,-7,"$106,166.67"
36,Erik van Rooyen,T33,72,66,72,67,277,-7,"$106,166.67"
37,Rory McIlroy,T33,67,68,68,74,277,-7,"$106,166.67"
38,Grayson Murray,T39,72,70,67,69,278,-6,"$86,500.00"
39,Jordan Spieth,T39,70,67,69,72,278,-6,"$86,500.00"
40,Mackenzie Hughes,T39,66,66,75,71,278,-6,"$86,500.00"
41,Webb Simpson,T42,71,70,69,69,279,-5,"$76,500.00"
42,Adam Hadwin,T42,67,70,70,72,279,-5,"$76,500.00"
43,Justin Rose,T44,70,73,66,71,280,-4,"$62,660.00"
44,Corey Conners,T44,69,71,66,74,280,-4,"$62,660.00"
45,Sam Burns,T44,70,69,72,69,280,-4,"$62,660.00"
46,Adam Svensson,T44,72,66,70,72,280,-4,"$62,660.00"
47,Will Zalatoris,T44,68,70,68,74,280,-4,"$62,660.00"
48,Cam Davis,T49,70,74,70,67,281,-3,"$49,450.00"
49,Tommy Fleetwood,T49,71,72,69,69,281,-3,"$49,450.00"
50,Matthieu Pavon,T49,69,73,70,69,281,-3,"$49,450.00"
51,Adam Schenk,T49,73,69,65,74,281,-3,"$49,450.00"
52,Nick Taylor,T49,71,70,69,71,281,-3,"$49,450.00"
53,Peter Malnati,T49,73,67,71,70,281,-3,"$49,450.00"
54,Keegan Bradley,T55,76,69,68,69,282,-2,"$46,200.00"
55,Max Homa,T55,71,70,66,75,282,-2,"$46,200.00"
56,Chandler Phillips,T55,68,69,77,68,282,-2,"$46,200.00"
57,Lee Hodges,T58,75,71,68,69,283,-1,"$44,800.00"
58,Erik Barnes,T58,71,70,70,72,283,-1,"$44,800.00"
59,Brendon Todd,T58,69,70,68,76,283,-1,"$44,800.00"
60,Taylor Moore,T58,68,70,71,74,283,-1,"$44,800.00"
61,Jake Knapp,T62,74,70,69,71,284,E,"$43,600.00"
62,Cameron Young,T62,67,71,76,70,284,E,"$43,600.00"
63,Gary Woodland,T64,73,75,66,71,285,+1,"$42,600.00"
64,Shane Lowry,T64,70,72,68,75,285,+1,"$42,600.00"
65,Emiliano Grillo,T64,70,71,69,75,285,+1,"$42,600.00"
66,Byeong Hun An,67,68,66,72,80,286,+2,"$41,800.00"
67,Kevin Kisner,68,73,73,72,71,289,+5,"$41,400.00"
68,Nick Dunlap,69,75,73,68,74,290,+6,"$41,000.00"
