,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Taylor Pendrith,1,64,67,63,67,261,-23,"$1,710,000.00"
1,Ben Kohles,2,65,66,65,66,262,-22,"$1,035,500.00"
2,Alex Noren,3,64,68,66,65,263,-21,"$655,500.00"
3,S.H. Kim,T4,68,64,68,64,264,-20,"$380,000.00"
4,Aaron Rai,T4,67,65,68,64,264,-20,"$380,000.00"
5,Byeong Hun An,T4,66,67,66,65,264,-20,"$380,000.00"
6,Matt Wallace,T4,63,66,67,68,264,-20,"$380,000.00"
7,Jake Knapp,8,64,64,67,70,265,-19,"$296,875.00"
8,Taiga Semikawa,T9,64,68,70,64,266,-18,"$249,375.00"
9,Rafael Campos,T9,67,67,69,63,266,-18,"$249,375.00"
10,Troy Merritt,T9,67,62,70,67,266,-18,"$249,375.00"
11,Kevin Tway,T9,69,66,64,67,266,-18,"$249,375.00"
12,Ryo Hisatsune,T13,70,65,68,64,267,-17,"$165,232.14"
13,Daniel Berger,T13,67,67,67,66,267,-17,"$165,232.14"
14,Alex Smalley,T13,65,69,67,66,267,-17,"$165,232.14"
15,Adam Schenk,T13,66,67,68,66,267,-17,"$165,232.14"
16,Ben Griffin,T13,69,64,67,67,267,-17,"$165,232.14"
17,Si Woo Kim,T13,68,65,67,67,267,-17,"$165,232.14"
18,Kelly Kraft,T13,64,66,68,69,267,-17,"$165,232.14"
19,Keith Mitchell,T20,66,65,69,68,268,-16,"$112,100.00"
20,Austin Cook,T20,67,67,70,64,268,-16,"$112,100.00"
21,Zach Johnson,T20,66,67,67,68,268,-16,"$112,100.00"
22,Stephan Jaeger,T20,66,68,66,68,268,-16,"$112,100.00"
23,Jorge Campillo,T24,68,65,69,67,269,-15,"$77,425.00"
24,Nico Echavarria,T24,67,68,67,67,269,-15,"$77,425.00"
25,Patton Kizzire,T24,69,66,66,68,269,-15,"$77,425.00"
26,Justin Lower,T24,66,69,66,68,269,-15,"$77,425.00"
27,Chris Gotterup,T24,67,69,65,68,269,-15,"$77,425.00"
28,Min Woo Lee,T24,66,68,66,69,269,-15,"$77,425.00"
29,Adam Scott,T30,69,65,68,68,270,-14,"$52,293.18"
30,Dylan Wu,T30,67,69,67,67,270,-14,"$52,293.18"
31,Luke List,T30,67,69,66,68,270,-14,"$52,293.18"
32,Kevin Dougherty,T30,66,68,69,67,270,-14,"$52,293.18"
33,Adrien Dumont de Chassart,T30,67,67,69,67,270,-14,"$52,293.18"
34,Davis Riley,T30,64,67,72,67,270,-14,"$52,293.18"
35,Andrew Novak,T30,68,67,66,69,270,-14,"$52,293.18"
36,Carson Young,T30,67,69,68,66,270,-14,"$52,293.18"
37,Max McGreevy,T30,67,66,71,66,270,-14,"$52,293.18"
38,Nick Dunlap,T30,66,67,67,70,270,-14,"$52,293.18"
39,Kevin Chappell,T30,68,67,72,63,270,-14,"$52,293.18"
40,Maverick McNealy,T41,67,67,68,69,271,-13,"$33,725.00"
41,Aaron Baddeley,T41,68,67,67,69,271,-13,"$33,725.00"
42,Ryan McCormick,T41,67,69,68,67,271,-13,"$33,725.00"
43,Tom Hoge,T41,68,67,69,67,271,-13,"$33,725.00"
44,Sung Kang,T41,68,68,64,71,271,-13,"$33,725.00"
45,Vince Whaley,T41,70,63,66,72,271,-13,"$33,725.00"
46,Mackenzie Hughes,T41,71,64,72,64,271,-13,"$33,725.00"
47,David Skinns,T48,65,69,70,68,272,-12,"$24,985.00"
48,Martin Laird,T48,67,66,72,67,272,-12,"$24,985.00"
49,Ben Martin,T48,67,69,71,65,272,-12,"$24,985.00"
50,Brandt Snedeker,T48,69,66,73,64,272,-12,"$24,985.00"
51,Mark Hubbard,T52,71,65,67,71,274,-10,"$22,406.43"
52,Harrison Endycott,T52,67,66,71,70,274,-10,"$22,406.43"
53,Tom Kim,T52,69,67,69,69,274,-10,"$22,406.43"
54,Tyson Alexander,T52,68,67,70,69,274,-10,"$22,406.43"
55,Scott Piercy,T52,68,67,71,68,274,-10,"$22,406.43"
56,Hayden Buckley,T52,65,70,72,67,274,-10,"$22,406.43"
57,Beau Hossler,T52,67,68,73,66,274,-10,"$22,406.43"
58,K.H. Lee,T59,66,67,71,71,275,-9,"$21,375.00"
59,Jason Day,T59,66,70,71,68,275,-9,"$21,375.00"
60,S.Y. Noh,T59,69,66,73,67,275,-9,"$21,375.00"
61,Sam Stevens,T62,70,66,70,70,276,-8,"$20,900.00"
62,Joel Dahmen,T62,67,69,70,70,276,-8,"$20,900.00"
63,Henrik Norlander,64,68,68,68,73,277,-7,"$20,615.00"
64,Kris Kim,65,68,67,70,73,278,-6,$0.00
65,Tom Whitney,66,65,70,75,73,283,-1,"$20,425.00"
