,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scottie Scheffler,1,67,69,68,64,268,-20,"$4,500,000.00"
1,Brian Harman,T2,72,65,64,68,269,-19,"$1,891,666.67"
2,Wyndham Clark,T2,65,65,70,69,269,-19,"$1,891,666.67"
3,Xander Schauffele,T2,65,69,65,70,269,-19,"$1,891,666.67"
4,Matt Fitzpatrick,5,66,69,68,69,272,-16,"$1,025,000.00"
5,Hideki Matsuyama,T6,69,69,68,67,273,-15,"$875,000.00"
6,Si Woo Kim,T6,70,71,68,64,273,-15,"$875,000.00"
7,Ludvig Åberg,8,67,73,67,67,274,-14,"$781,250.00"
8,Sahith Theegala,T9,70,67,67,71,275,-13,"$706,250.00"
9,Maverick McNealy,T9,67,68,68,72,275,-13,"$706,250.00"
10,Taylor Montgomery,T11,68,70,68,70,276,-12,"$606,250.00"
11,Joel Dahmen,T11,74,67,67,68,276,-12,"$606,250.00"
12,Corey Conners,T13,68,68,73,68,277,-11,"$489,583.33"
13,Nate Lashley,T13,68,70,67,72,277,-11,"$489,583.33"
14,Christiaan Bezuidenhout,T13,69,70,68,70,277,-11,"$489,583.33"
15,Sepp Straka,T16,68,70,70,70,278,-10,"$406,250.00"
16,Sam Ryder,T16,70,69,70,69,278,-10,"$406,250.00"
17,Doug Ghim,T16,71,70,66,71,278,-10,"$406,250.00"
18,Rory McIlroy,T19,65,73,69,72,279,-9,"$285,535.71"
19,Shane Lowry,T19,71,70,72,66,279,-9,"$285,535.71"
20,Kurt Kitayama,T19,70,71,71,67,279,-9,"$285,535.71"
21,Adam Schenk,T19,71,71,66,71,279,-9,"$285,535.71"
22,Harris English,T19,69,69,75,66,279,-9,"$285,535.71"
23,Alex Noren,T19,71,70,70,68,279,-9,"$285,535.71"
24,Dylan Wu,T19,69,74,69,67,279,-9,"$285,535.71"
25,Nick Taylor,T26,66,68,76,70,280,-8,"$186,250.00"
26,Chris Kirk,T26,68,70,73,69,280,-8,"$186,250.00"
27,Mackenzie Hughes,T26,70,73,69,68,280,-8,"$186,250.00"
28,Matt NeSmith,T26,73,67,68,72,280,-8,"$186,250.00"
29,Matti Schmid,T26,68,68,72,72,280,-8,"$186,250.00"
30,Taylor Moore,T31,72,68,70,71,281,-7,"$152,812.50"
31,Sungjae Im,T31,70,72,69,70,281,-7,"$152,812.50"
32,Mark Hubbard,T31,68,73,72,68,281,-7,"$152,812.50"
33,Ben Martin,T31,72,71,71,67,281,-7,"$152,812.50"
34,Jason Day,T35,67,71,72,72,282,-6,"$119,285.71"
35,Lee Hodges,T35,69,70,72,71,282,-6,"$119,285.71"
36,Tommy Fleetwood,T35,70,72,69,71,282,-6,"$119,285.71"
37,Denny McCarthy,T35,71,71,71,69,282,-6,"$119,285.71"
38,Aaron Rai,T35,71,72,68,71,282,-6,"$119,285.71"
39,Jimmy Stanger,T35,69,73,71,69,282,-6,"$119,285.71"
40,Brice Garnett,T35,71,72,67,72,282,-6,"$119,285.71"
41,Grayson Murray,T42,73,69,77,64,283,-5,"$93,750.00"
42,David Lipsky,T42,73,70,69,71,283,-5,"$93,750.00"
43,C.T. Pan,T42,69,68,70,76,283,-5,"$93,750.00"
44,Tony Finau,T45,69,72,69,74,284,-4,"$70,062.50"
45,Jake Knapp,T45,71,72,68,73,284,-4,"$70,062.50"
46,Sam Burns,T45,73,70,65,76,284,-4,"$70,062.50"
47,Collin Morikawa,T45,71,69,70,74,284,-4,"$70,062.50"
48,Austin Eckroat,T45,71,69,68,76,284,-4,"$70,062.50"
49,J.T. Poston,T45,69,68,69,78,284,-4,"$70,062.50"
