,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Maverick McNealy,1,62,70,66,68,266,-16,"$1,368,000.00"
1,Luke Clanton,T2,68,65,68,66,267,-15,$0.00
2,Nico Echavarria,T2,67,67,68,65,267,-15,"$676,400.00"
3,Daniel Berger,T2,71,66,63,67,267,-15,"$676,400.00"
4,J.T. Poston,T5,70,71,64,63,268,-14,"$319,833.33"
5,Lee Hodges,T5,69,63,69,67,268,-14,"$319,833.33"
6,Mackenzie Hughes,T5,68,67,65,68,268,-14,"$319,833.33"
7,Michael Thorbjornsen,T8,64,69,67,69,269,-13,"$238,766.67"
8,Patrick Fishburn,T8,67,64,69,69,269,-13,"$238,766.67"
9,Vince Whaley,T8,67,68,63,71,269,-13,"$238,766.67"
10,Chandler Phillips,T11,66,71,69,64,270,-12,"$184,300.00"
11,Joe Highsmith,T11,71,66,68,65,270,-12,"$184,300.00"
12,Kevin Yu,T11,67,68,69,66,270,-12,"$184,300.00"
13,Michael Kim,T11,65,69,68,68,270,-12,"$184,300.00"
14,Ben Griffin,T15,69,72,65,65,271,-11,"$142,500.00"
15,Eric Cole,T15,68,72,68,63,271,-11,"$142,500.00"
16,Austin Eckroat,T17,67,70,69,66,272,-10,"$104,690.00"
17,Ryo Hisatsune,T17,71,67,68,66,272,-10,"$104,690.00"
18,Ludvig Åberg,T17,73,64,71,64,272,-10,"$104,690.00"
19,Patrick Rodgers,T17,65,70,70,67,272,-10,"$104,690.00"
20,Robby Shelton,T17,72,66,67,67,272,-10,"$104,690.00"
21,Martin Laird,T17,69,66,69,68,272,-10,"$104,690.00"
22,Henrik Norlander,T17,71,70,63,68,272,-10,"$104,690.00"
23,Stewart Cink,T17,68,68,67,69,272,-10,"$104,690.00"
24,Denny McCarthy,T25,69,70,68,66,273,-9,"$63,460.00"
25,Bud Cauley,T25,68,70,68,67,273,-9,"$63,460.00"
26,Adrien Dumont de Chassart,T25,64,70,71,68,273,-9,"$63,460.00"
