,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Chris Kirk,1,67,65,66,65,263,-29,"$3,600,000.00"
1,Sahith Theegala,2,64,69,68,63,264,-28,"$2,160,000.00"
2,Jordan Spieth,3,66,67,67,65,265,-27,"$1,360,000.00"
3,Byeong Hun An,4,68,64,68,66,266,-26,"$975,000.00"
4,Brian Harman,T5,67,66,70,64,267,-25,"$690,500.00"
5,Scottie Scheffler,T5,66,64,71,66,267,-25,"$690,500.00"
6,Collin Morikawa,T5,65,67,70,65,267,-25,"$690,500.00"
7,Sungjae Im,T5,65,66,73,63,267,-25,"$690,500.00"
8,J.T. Poston,T5,68,68,66,65,267,-25,"$690,500.00"
9,Jason Day,T10,65,69,67,67,268,-24,"$530,000.00"
10,Xander Schauffele,T10,66,69,65,68,268,-24,"$530,000.00"
11,Sepp Straka,T12,67,66,70,66,269,-23,"$450,000.00"
12,Patrick Cantlay,T12,66,68,68,67,269,-23,"$450,000.00"
13,Max Homa,T14,67,69,68,66,270,-22,"$320,250.00"
14,Matt Fitzpatrick,T14,69,64,69,68,270,-22,"$320,250.00"
15,Akshay Bhatia,T14,69,64,66,71,270,-22,"$320,250.00"
16,Tyrrell Hatton,T14,69,62,72,67,270,-22,"$320,250.00"
17,Harris English,T14,71,66,64,69,270,-22,"$320,250.00"
18,Eric Cole,T14,70,66,69,65,270,-22,"$320,250.00"
19,Adam Hadwin,T14,70,66,70,64,270,-22,"$320,250.00"
20,Patrick Rodgers,T14,69,65,70,66,270,-22,"$320,250.00"
21,Luke List,T22,67,70,68,66,271,-21,"$220,000.00"
22,Erik van Rooyen,T22,72,65,69,65,271,-21,"$220,000.00"
23,Viktor Hovland,T22,65,67,72,67,271,-21,"$220,000.00"
24,Si Woo Kim,T25,70,66,70,66,272,-20,"$170,750.00"
25,Taylor Moore,T25,71,65,70,66,272,-20,"$170,750.00"
26,Nico Echavarria,T25,70,67,68,67,272,-20,"$170,750.00"
27,Mackenzie Hughes,T25,68,70,70,64,272,-20,"$170,750.00"
28,Lucas Glover,T29,72,66,68,67,273,-19,"$140,500.00"
29,Kurt Kitayama,T29,72,64,71,66,273,-19,"$140,500.00"
30,Wyndham Clark,T29,71,68,71,63,273,-19,"$140,500.00"
31,Adam Schenk,T29,69,65,70,69,273,-19,"$140,500.00"
32,Corey Conners,T33,69,70,68,67,274,-18,"$113,000.00"
33,Sam Burns,T33,69,68,68,69,274,-18,"$113,000.00"
34,Adam Svensson,T33,70,68,68,68,274,-18,"$113,000.00"
35,Cameron Young,T33,68,67,74,65,274,-18,"$113,000.00"
36,Brendon Todd,T33,67,64,73,70,274,-18,"$113,000.00"
37,Tony Finau,T38,69,66,71,69,275,-17,"$96,000.00"
38,Tom Hoge,T38,67,69,71,68,275,-17,"$96,000.00"
39,Justin Rose,T40,71,69,75,61,276,-16,"$86,000.00"
40,Matt Wallace,T40,68,70,69,69,276,-16,"$86,000.00"
41,Andrew Putnam,T40,74,71,67,64,276,-16,"$86,000.00"
42,Emiliano Grillo,T43,66,68,72,71,277,-15,"$76,000.00"
43,Denny McCarthy,T43,70,69,71,67,277,-15,"$76,000.00"
44,Keegan Bradley,T45,69,70,72,67,278,-14,"$68,000.00"
45,Tom Kim,T45,68,70,74,66,278,-14,"$68,000.00"
46,Nick Hardy,T47,71,67,75,66,279,-13,"$62,000.00"
47,Ludvig Åberg,T47,69,70,77,63,279,-13,"$62,000.00"
48,Tommy Fleetwood,T47,70,70,69,70,279,-13,"$62,000.00"
49,Camilo Villegas,T50,65,71,74,70,280,-12,"$57,500.00"
50,Seamus Power,T50,71,71,71,67,280,-12,"$57,500.00"
51,Nick Taylor,T52,69,69,73,70,281,-11,"$54,500.00"
52,Davis Riley,T52,70,71,76,64,281,-11,"$54,500.00"
53,Russell Henley,T52,69,72,72,68,281,-11,"$54,500.00"
54,Cam Davis,T52,75,68,73,65,281,-11,"$54,500.00"
55,Rickie Fowler,56,70,67,75,70,282,-10,"$52,000.00"
56,Lee Hodges,57,72,65,77,69,283,-9,"$51,000.00"
57,Hideki Matsuyama,58,71,68,76,69,284,-8,"$50,500.00"
58,Vincent Norrman,59,73,70,74,69,286,-6,"$50,000.00"
