,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scottie Scheffler,1,65,64,64,65,258,-22,"$3,600,000.00"
1,Tom Kim,2,62,65,65,66,258,-22,"$2,160,000.00"
2,Tom Hoge,T3,69,63,66,62,260,-20,"$1,160,000.00"
3,Sungjae Im,T3,67,64,63,66,260,-20,"$1,160,000.00"
4,Patrick Cantlay,T5,68,65,64,65,262,-18,"$702,500.00"
5,Tony Finau,T5,65,67,64,66,262,-18,"$702,500.00"
6,Justin Thomas,T5,68,63,65,66,262,-18,"$702,500.00"
7,Akshay Bhatia,T5,64,65,64,69,262,-18,"$702,500.00"
8,Brian Harman,T9,67,69,65,62,263,-17,"$520,000.00"
9,Wyndham Clark,T9,66,68,66,63,263,-17,"$520,000.00"
10,Cameron Young,T9,72,66,59,66,263,-17,"$520,000.00"
11,Shane Lowry,T9,69,62,65,67,263,-17,"$520,000.00"
12,Xander Schauffele,T13,65,65,64,70,264,-16,"$400,000.00"
13,Collin Morikawa,T13,66,63,66,69,264,-16,"$400,000.00"
14,Tommy Fleetwood,15,67,67,66,65,265,-15,"$360,000.00"
15,Patrick Rodgers,T16,65,68,67,66,266,-14,"$310,000.00"
16,Robert MacIntyre,T16,70,62,66,68,266,-14,"$310,000.00"
17,Adam Svensson,T16,71,64,63,68,266,-14,"$310,000.00"
18,Matthieu Pavon,T16,71,65,62,68,266,-14,"$310,000.00"
19,Seamus Power,T20,67,70,67,63,267,-13,"$241,333.33"
20,Rickie Fowler,T20,64,69,69,65,267,-13,"$241,333.33"
21,Viktor Hovland,T20,68,70,64,65,267,-13,"$241,333.33"
22,Sepp Straka,T23,69,70,68,61,268,-12,"$183,500.00"
23,Hideki Matsuyama,T23,66,69,69,64,268,-12,"$183,500.00"
24,Christiaan Bezuidenhout,T23,66,70,68,64,268,-12,"$183,500.00"
25,Taylor Pendrith,T23,65,68,66,69,268,-12,"$183,500.00"
26,Corey Conners,T27,67,70,66,66,269,-11,"$144,000.00"
27,Adam Hadwin,T27,69,69,64,67,269,-11,"$144,000.00"
28,Austin Eckroat,T27,70,67,65,67,269,-11,"$144,000.00"
29,Ludvig Åberg,T27,67,69,62,71,269,-11,"$144,000.00"
30,Kurt Kitayama,T31,64,70,70,66,270,-10,"$117,600.00"
31,Lee Hodges,T31,68,69,68,65,270,-10,"$117,600.00"
32,Denny McCarthy,T31,67,67,69,67,270,-10,"$117,600.00"
33,Stephan Jaeger,T31,71,67,65,67,270,-10,"$117,600.00"
34,Si Woo Kim,T31,69,67,65,69,270,-10,"$117,600.00"
35,Mackenzie Hughes,T36,65,72,69,65,271,-9,"$97,333.33"
36,Brendon Todd,T36,69,65,67,70,271,-9,"$97,333.33"
37,Matt Fitzpatrick,T36,74,65,63,69,271,-9,"$97,333.33"
38,Adam Scott,T39,74,67,67,64,272,-8,"$85,000.00"
39,Keegan Bradley,T39,69,67,70,66,272,-8,"$85,000.00"
40,Michael Thorbjornsen,T39,72,64,66,70,272,-8,"$85,000.00"
41,Nick Taylor,T42,68,73,65,67,273,-7,"$75,000.00"
42,Will Zalatoris,T42,64,72,68,69,273,-7,"$75,000.00"
43,Victor Perez,T44,68,70,71,65,274,-6,"$63,000.00"
44,Lucas Glover,T44,70,67,71,66,274,-6,"$63,000.00"
45,Andrew Putnam,T44,71,71,66,66,274,-6,"$63,000.00"
46,Jason Day,T44,71,70,64,69,274,-6,"$63,000.00"
47,Eric Cole,T48,69,75,66,65,275,-5,"$49,285.71"
48,Russell Henley,T48,70,73,67,65,275,-5,"$49,285.71"
49,Davis Riley,T48,71,71,67,66,275,-5,"$49,285.71"
50,Cam Davis,T48,65,71,69,70,275,-5,"$49,285.71"
51,Webb Simpson,T48,72,64,69,70,275,-5,"$49,285.71"
52,Jake Knapp,T48,70,70,64,71,275,-5,"$49,285.71"
53,Sahith Theegala,T48,69,67,67,72,275,-5,"$49,285.71"
54,Adam Schenk,T55,74,69,69,64,276,-4,"$44,750.00"
55,Billy Horschel,T55,72,67,70,67,276,-4,"$44,750.00"
56,Emiliano Grillo,T55,69,71,68,68,276,-4,"$44,750.00"
57,J.T. Poston,T55,66,71,69,70,276,-4,"$44,750.00"
58,Thomas Detry,T55,69,68,69,70,276,-4,"$44,750.00"
59,Sam Burns,T55,67,68,69,72,276,-4,"$44,750.00"
60,Max Homa,T61,70,71,70,66,277,-3,"$42,750.00"
61,Chris Gotterup,T61,75,65,68,69,277,-3,"$42,750.00"
62,Harris English,T63,70,68,72,68,278,-2,"$41,500.00"
63,Jordan Spieth,T63,70,68,72,68,278,-2,"$41,500.00"
64,Chris Kirk,T63,71,70,68,69,278,-2,"$41,500.00"
65,Nick Dunlap,66,68,70,73,68,279,-1,"$40,500.00"
66,Ben Griffin,67,71,71,67,71,280,E,"$40,000.00"
67,Justin Rose,T68,72,75,65,69,281,+1,"$39,250.00"
68,Taylor Moore,T68,70,68,72,71,281,+1,"$39,250.00"
69,Peter Malnati,70,73,68,73,69,283,+3,"$38,500.00"
70,Byeong Hun An,W/D,,,,,-,-,$0.00
