,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Nick Taylor,1,60,70,68,65,263,-21,"$1,584,000.00"
1,Charley Hoffman,2,67,68,64,64,263,-21,"$959,200.00"
2,Scottie Scheffler,T3,68,66,66,66,266,-18,"$519,200.00"
3,Sam Burns,T3,68,67,67,64,266,-18,"$519,200.00"
4,Sahith Theegala,5,65,64,69,69,267,-17,"$360,800.00"
5,Jordan Spieth,T6,68,66,69,67,270,-14,"$308,000.00"
6,Maverick McNealy,T6,65,67,71,67,270,-14,"$308,000.00"
7,Kurt Kitayama,T8,68,67,67,69,271,-13,"$248,600.00"
8,Adam Scott,T8,72,68,65,66,271,-13,"$248,600.00"
9,Cameron Young,T8,67,67,66,71,271,-13,"$248,600.00"
10,Andrew Novak,T8,65,65,69,72,271,-13,"$248,600.00"
11,Justin Thomas,T12,69,65,70,68,272,-12,"$187,000.00"
12,Si Woo Kim,T12,68,68,69,67,272,-12,"$187,000.00"
13,Doug Ghim,T12,65,68,71,68,272,-12,"$187,000.00"
14,Matt Fitzpatrick,T15,69,66,70,68,273,-11,"$156,200.00"
15,Davis Thompson,T15,69,67,70,67,273,-11,"$156,200.00"
16,Harris English,T17,71,67,65,71,274,-10,"$125,400.00"
17,Tom Hoge,T17,70,70,68,66,274,-10,"$125,400.00"
18,Tom Kim,T17,74,66,67,67,274,-10,"$125,400.00"
19,Adam Schenk,T17,70,69,70,65,274,-10,"$125,400.00"
20,Keith Mitchell,T17,69,68,69,68,274,-10,"$125,400.00"
21,Hideki Matsuyama,T22,69,68,68,70,275,-9,"$82,133.34"
22,Brendon Todd,T22,70,68,69,68,275,-9,"$82,133.34"
23,Emiliano Grillo,T22,71,68,73,63,275,-9,"$82,133.33"
24,Denny McCarthy,T22,72,68,66,69,275,-9,"$82,133.33"
25,Justin Suh,T22,68,68,70,69,275,-9,"$82,133.33"
26,Jhonattan Vegas,T22,67,68,69,71,275,-9,"$82,133.33"
27,Corey Conners,T28,68,69,73,66,276,-8,"$53,000.00"
28,Daniel Berger,T28,66,69,72,69,276,-8,"$53,000.00"
29,Thomas Detry,T28,69,68,71,68,276,-8,"$53,000.00"
30,Hayden Buckley,T28,70,69,67,70,276,-8,"$53,000.00"
31,Ben Griffin,T28,72,67,68,69,276,-8,"$53,000.00"
32,Samuel Stevens,T28,70,66,70,70,276,-8,"$53,000.00"
33,S.H. Kim,T28,67,69,70,70,276,-8,"$53,000.00"
34,Christiaan Bezuidenhout,T28,67,72,69,68,276,-8,"$53,000.00"
35,Aaron Baddeley,T28,69,71,68,68,276,-8,"$53,000.00"
36,Jake Knapp,T28,68,68,71,69,276,-8,"$53,000.00"
37,Jim Knous,T28,72,66,70,68,276,-8,"$53,000.00"
38,Taylor Moore,T39,69,70,72,66,277,-7,"$39,160.00"
39,Taylor Montgomery,T39,69,68,67,73,277,-7,"$39,160.00"
40,Wyndham Clark,T41,72,65,66,75,278,-6,"$30,404.00"
