,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Garrick Higgo,1,64,68,70,72,274,-14,"$720,000.00"
1,Alejandro Tosti,T2,68,67,72,68,275,-13,"$243,400.00"
2,Keith Mitchell,T2,64,69,71,71,275,-13,"$243,400.00"
3,Jeremy Paul,T2,66,70,67,72,275,-13,"$243,400.00"
4,Michael Thorbjornsen,T2,69,63,70,73,275,-13,"$243,400.00"
5,Joel Dahmen,T2,62,66,71,76,275,-13,"$243,400.00"
6,Vince Whaley,T7,67,70,66,73,276,-12,"$130,000.00"
7,Chan Kim,T7,67,66,69,74,276,-12,"$130,000.00"
8,Matti Schmid,T9,67,72,69,69,277,-11,"$109,000.00"
9,Charley Hoffman,T9,66,66,74,71,277,-11,"$109,000.00"
10,Ben Martin,T9,68,68,67,74,277,-11,"$109,000.00"
11,Mark Hubbard,T12,68,69,72,69,278,-10,"$77,000.00"
12,Dylan Wu,T12,66,67,74,71,278,-10,"$77,000.00"
13,Rico Hoey,T12,68,68,71,71,278,-10,"$77,000.00"
14,Thomas Rosenmueller,T12,66,71,70,71,278,-10,"$77,000.00"
15,Matt Wallace,T12,64,70,71,73,278,-10,"$77,000.00"
16,Matt NeSmith,T12,65,69,71,73,278,-10,"$77,000.00"
17,Chris Gotterup,T18,65,73,74,67,279,-9,"$51,133.33"
18,Kaito Onishi,T18,66,71,72,70,279,-9,"$51,133.33"
19,Chad Ramey,T18,69,67,72,71,279,-9,"$51,133.33"
20,Henrik Norlander,T18,67,73,68,71,279,-9,"$51,133.33"
21,Zac Blair,T18,68,67,71,73,279,-9,"$51,133.33"
22,Seamus Power,T18,67,68,71,73,279,-9,"$51,133.33"
23,Adam Svensson,T24,70,68,72,70,280,-8,"$37,000.00"
24,David Skinns,T24,67,68,73,72,280,-8,"$37,000.00"
25,Scott Piercy,T26,68,71,74,68,281,-7,"$29,800.00"
26,Will Chandler,T26,66,68,75,72,281,-7,"$29,800.00"
27,Rikuya Hoshino,T26,65,70,73,73,281,-7,"$29,800.00"
28,Andrew Putnam,T26,65,72,70,74,281,-7,"$29,800.00"
29,Aaron Baddeley,T26,66,70,70,75,281,-7,"$29,800.00"
30,David Lipsky,T31,70,70,72,70,282,-6,"$23,400.00"
31,Pierceson Coody,T31,67,71,72,72,282,-6,"$23,400.00"
32,Kevin Roy,T31,69,72,69,72,282,-6,"$23,400.00"
33,Kris Ventura,T31,68,71,70,73,282,-6,"$23,400.00"
34,Danny Walker,T31,72,66,70,74,282,-6,"$23,400.00"
35,Justin Lower,T31,67,73,68,74,282,-6,"$23,400.00"
36,Danny Willett,37,69,69,74,71,283,-5,"$19,800.00"
37,Ricky Castillo,T38,71,69,71,73,284,-4,"$18,200.00"
38,Joseph Bramlett,T38,68,71,71,74,284,-4,"$18,200.00"
39,Sam Choi,T38,68,69,70,77,284,-4,"$18,200.00"
40,Quade Cummins,T41,65,73,74,73,285,-3,"$13,820.00"
41,George McNeill,T41,68,71,72,74,285,-3,"$13,820.00"
42,Nick Hardy,T41,68,71,72,74,285,-3,"$13,820.00"
43,Emiliano Grillo,T41,69,71,71,74,285,-3,"$13,820.00"
44,Hayden Springer,T41,69,71,70,75,285,-3,"$13,820.00"
45,Greyson Sigg,T41,67,72,71,75,285,-3,"$13,820.00"
46,Braden Thornberry,T41,70,70,70,75,285,-3,"$13,820.00"
47,Troy Merritt,T41,69,70,69,77,285,-3,"$13,820.00"
48,Max McGreevy,T49,68,69,75,74,286,-2,"$10,180.00"
49,Hayden Buckley,T49,70,71,72,73,286,-2,"$10,180.00"
50,Patrick Flavin,T49,69,71,71,75,286,-2,"$10,180.00"
51,Harry Hall,T49,68,67,75,76,286,-2,"$10,180.00"
52,Willy Pumarol,T53,68,72,75,72,287,-1,"$9,373.33"
