,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Brian Campbell,1,65,65,64,70,264,-20,"$1,260,000.00"
1,Aldrich Potgieter,2,65,61,67,71,264,-20,"$763,000.00"
2,Isaiah Salinda,3,65,67,68,65,265,-19,"$483,000.00"
3,Aaron Rai,T4,67,64,68,67,266,-18,"$315,000.00"
4,Ben Griffin,T4,67,65,67,67,266,-18,"$315,000.00"
5,Joel Dahmen,T6,68,69,65,65,267,-17,"$245,000.00"
6,Stephan Jaeger,T6,66,64,66,71,267,-17,"$245,000.00"
7,Nicolai Højgaard,8,69,66,66,67,268,-16,"$218,750.00"
8,Akshay Bhatia,9,66,66,70,67,269,-15,"$204,750.00"
9,Ryo Hisatsune,T10,66,68,68,68,270,-14,"$176,750.00"
10,Alejandro Tosti,T10,65,69,66,70,270,-14,"$176,750.00"
11,Alex Smalley,T10,69,65,64,72,270,-14,"$176,750.00"
12,Danny Walker,T13,68,71,67,65,271,-13,"$137,083.33"
13,Henrik Norlander,T13,67,71,67,66,271,-13,"$137,083.33"
14,Michael Kim,T13,68,68,67,68,271,-13,"$137,083.33"
15,Justin Hastings,T13,69,67,65,70,271,-13,$0.00
16,Chan Kim,T17,68,71,67,66,272,-12,"$99,750.00"
17,Jose Luis Ballester Barrio,T17,69,69,69,65,272,-12,$0.00
18,Ryan Gerard,T17,66,67,71,68,272,-12,"$99,750.00"
19,Greyson Sigg,T17,70,65,69,68,272,-12,"$99,750.00"
20,Joe Highsmith,T17,68,68,68,68,272,-12,"$99,750.00"
21,John Pak,T17,68,67,68,69,272,-12,"$99,750.00"
22,Steven Fisk,T17,69,64,69,70,272,-12,"$99,750.00"
23,Kevin Roy,T17,68,66,68,70,272,-12,"$99,750.00"
24,Kris Ventura,T25,64,71,71,67,273,-11,"$59,350.00"
25,Jeremy Paul,T25,64,70,71,68,273,-11,"$59,350.00"
26,Lanto Griffin,T25,70,65,72,66,273,-11,"$59,350.00"
27,Jake Knapp,T25,67,72,68,66,273,-11,"$59,350.00"
28,Max McGreevy,T25,74,65,68,66,273,-11,"$59,350.00"
29,Ben Kohles,T25,70,68,70,65,273,-11,"$59,350.00"
30,Patrick Rodgers,T25,67,68,66,72,273,-11,"$59,350.00"
31,Takumi Kanaya,T32,66,69,72,67,274,-10,"$46,900.00"
32,Quade Cummins,T32,69,68,68,69,274,-10,"$46,900.00"
33,Rasmus Højgaard,T34,69,67,70,69,275,-9,"$35,159.09"
34,Sami Valimaki,T34,66,67,72,70,275,-9,"$35,159.09"
35,Taylor Moore,T34,68,71,67,69,275,-9,"$35,159.09"
36,Rafael Campos,T34,69,67,71,68,275,-9,"$35,159.09"
37,Niklas Norgaard,T34,70,67,70,68,275,-9,"$35,159.09"
38,Aaron Baddeley,T34,67,69,68,71,275,-9,"$35,159.09"
39,Jacob Bridgeman,T34,71,68,68,68,275,-9,"$35,159.09"
40,Blades Brown,T34,68,69,67,71,275,-9,"$35,159.09"
41,Chandler Phillips,T34,66,69,68,72,275,-9,"$35,159.09"
42,Chad Ramey,T34,67,71,70,67,275,-9,"$35,159.09"
43,Harry Hall,T34,64,72,67,72,275,-9,"$35,159.09"
44,Ben Martin,T45,68,70,68,70,276,-8,"$24,150.00"
45,Hayden Springer,T45,68,67,69,72,276,-8,"$24,150.00"
46,Taylor Montgomery,T45,70,66,68,72,276,-8,"$24,150.00"
