,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Min Woo Lee,1,66,64,63,67,260,-20,"$1,710,000.00"
1,Gary Woodland,T2,69,64,66,62,261,-19,"$845,500.00"
2,Scottie Scheffler,T2,67,62,69,63,261,-19,"$845,500.00"
3,Sami Valimaki,4,70,67,64,62,263,-17,"$465,500.00"
4,Wyndham Clark,T5,69,68,64,64,265,-15,"$337,843.75"
5,Taylor Pendrith,T5,65,65,70,65,265,-15,"$337,843.75"
6,Rory McIlroy,T5,70,66,65,64,265,-15,"$337,843.75"
7,Alejandro Tosti,T5,65,67,65,68,265,-15,"$337,843.75"
8,Ryan Gerard,9,65,65,68,68,266,-14,"$277,875.00"
9,Mackenzie Hughes,10,69,66,66,66,267,-13,"$258,875.00"
10,Lee Hodges,T11,68,69,66,65,268,-12,"$211,375.00"
11,Rico Hoey,T11,70,66,68,64,268,-12,"$211,375.00"
12,Stephan Jaeger,T11,70,64,67,67,268,-12,"$211,375.00"
13,Isaiah Salinda,T11,69,66,66,67,268,-12,"$211,375.00"
14,Eric Cole,T15,66,67,71,65,269,-11,"$163,875.00"
15,Hayden Springer,T15,67,70,64,68,269,-11,"$163,875.00"
16,Ryan Fox,T15,68,65,65,71,269,-11,"$163,875.00"
17,Joel Dahmen,T18,71,66,67,66,270,-10,"$108,986.11"
18,Chris Gotterup,T18,69,68,67,66,270,-10,"$108,986.11"
19,Sam Stevens,T18,71,65,69,65,270,-10,"$108,986.11"
20,Harry Hall,T18,68,67,70,65,270,-10,"$108,986.11"
21,Harris English,T18,72,64,66,68,270,-10,"$108,986.11"
22,Victor Perez,T18,66,69,70,65,270,-10,"$108,986.11"
23,Ben Griffin,T18,70,67,68,65,270,-10,"$108,986.11"
24,Kevin Yu,T18,71,63,67,69,270,-10,"$108,986.11"
25,Keith Mitchell,T18,65,68,66,71,270,-10,"$108,986.11"
26,Jason Day,T27,70,66,69,66,271,-9,"$67,925.00"
