,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Sepp Straka,1,63,67,66,68,264,-16,"$3,600,000.00"
1,Justin Thomas,T2,66,67,66,67,266,-14,"$1,760,000.00"
2,Shane Lowry,T2,64,65,67,70,266,-14,"$1,760,000.00"
3,Patrick Cantlay,T4,65,68,70,65,268,-12,"$826,666.67"
4,Jacob Bridgeman,T4,71,67,65,65,268,-12,"$826,666.67"
5,Tommy Fleetwood,T4,68,68,67,65,268,-12,"$826,666.67"
6,Stephan Jaeger,T7,65,69,70,66,270,-10,"$602,500.00"
7,Cameron Young,T7,66,70,68,66,270,-10,"$602,500.00"
8,Rory McIlroy,T7,66,67,69,68,270,-10,"$602,500.00"
9,Keith Mitchell,T7,61,67,71,71,270,-10,"$602,500.00"
10,Xander Schauffele,T11,67,69,69,66,271,-9,"$440,000.00"
11,Daniel Berger,T11,68,69,68,66,271,-9,"$440,000.00"
12,Corey Conners,T11,67,71,66,67,271,-9,"$440,000.00"
13,Harris English,T11,65,70,68,68,271,-9,"$440,000.00"
14,Rickie Fowler,T15,63,71,69,69,272,-8,"$350,000.00"
15,Tony Finau,T15,65,70,67,70,272,-8,"$350,000.00"
16,Andrew Novak,T17,66,71,72,64,273,-7,"$270,500.00"
17,J.J. Spaun,T17,67,70,69,67,273,-7,"$270,500.00"
18,Collin Morikawa,T17,63,70,72,68,273,-7,"$270,500.00"
19,Si Woo Kim,T17,65,68,71,69,273,-7,"$270,500.00"
20,Hideki Matsuyama,T17,65,72,63,73,273,-7,"$270,500.00"
21,Nick Taylor,T17,67,68,67,71,273,-7,"$270,500.00"
22,Aaron Rai,T23,65,72,71,66,274,-6,"$167,142.86"
23,Rasmus Højgaard,T23,66,70,71,67,274,-6,"$167,142.86"
24,Davis Thompson,T23,65,72,70,67,274,-6,"$167,142.86"
25,Matt Fitzpatrick,T23,68,70,68,68,274,-6,"$167,142.86"
26,Sam Stevens,T23,64,71,69,70,274,-6,"$167,142.86"
27,J.T. Poston,T23,65,70,69,70,274,-6,"$167,142.86"
28,Sungjae Im,T23,69,66,67,72,274,-6,"$167,142.86"
29,Thomas Detry,T30,65,69,73,68,275,-5,"$125,375.00"
30,Max Homa,T30,66,68,70,71,275,-5,"$125,375.00"
31,Keegan Bradley,T30,64,72,68,71,275,-5,"$125,375.00"
32,Sam Burns,T30,65,70,67,73,275,-5,"$125,375.00"
33,Robert MacIntyre,T34,69,68,72,67,276,-4,"$95,062.50"
34,Erik van Rooyen,T34,65,70,73,68,276,-4,"$95,062.50"
35,Adam Scott,T34,68,70,70,68,276,-4,"$95,062.50"
36,Brian Campbell,T34,67,72,69,68,276,-4,"$95,062.50"
37,Gary Woodland,T34,68,66,72,70,276,-4,"$95,062.50"
38,Jordan Spieth,T34,70,68,68,70,276,-4,"$95,062.50"
39,Byeong Hun An,T34,67,71,68,70,276,-4,"$95,062.50"
40,Eric Cole,T34,65,71,68,72,276,-4,"$95,062.50"
41,Chris Kirk,T42,68,73,71,65,277,-3,"$70,000.00"
42,Christiaan Bezuidenhout,T42,67,71,71,68,277,-3,"$70,000.00"
43,Patrick Rodgers,T42,70,69,69,69,277,-3,"$70,000.00"
44,Ryan Gerard,T42,69,71,68,69,277,-3,"$70,000.00"
45,Russell Henley,T46,65,74,72,67,278,-2,"$53,600.00"
46,Brian Harman,T46,69,70,72,67,278,-2,"$53,600.00"
47,Denny McCarthy,T46,62,73,74,69,278,-2,"$53,600.00"
48,Ben Griffin,T46,66,70,72,70,278,-2,"$53,600.00"
49,Akshay Bhatia,T46,63,70,71,74,278,-2,"$53,600.00"
50,Austin Eckroat,T51,67,72,72,68,279,-1,"$47,000.00"
51,Min Woo Lee,T51,69,68,72,70,279,-1,"$47,000.00"
52,Alex Noren,T51,67,68,72,72,279,-1,"$47,000.00"
53,Matthieu Pavon,T54,68,73,72,67,280,E,"$44,750.00"
54,Max Greyserman,T54,67,73,73,67,280,E,"$44,750.00"
55,Michael Thorbjornsen,T54,69,69,72,70,280,E,"$44,750.00"
56,Viktor Hovland,T54,69,70,71,70,280,E,"$44,750.00"
57,Will Zalatoris,T54,66,75,68,71,280,E,"$44,750.00"
58,Cam Davis,T54,69,69,70,72,280,E,"$44,750.00"
59,Ludvig Åberg,T60,66,71,75,69,281,+1,"$42,500.00"
60,Adam Hadwin,T60,71,69,72,69,281,+1,"$42,500.00"
61,Maverick McNealy,T60,68,69,72,72,281,+1,"$42,500.00"
62,Wyndham Clark,T63,69,73,70,70,282,+2,"$41,250.00"
63,Tom Hoge,T63,68,73,69,72,282,+2,"$41,250.00"
64,Taylor Pendrith,65,66,70,76,71,283,+3,"$40,500.00"
65,Lucas Glover,T66,72,70,70,72,284,+4,"$39,750.00"
66,Joe Highsmith,T66,64,74,71,75,284,+4,"$39,750.00"
67,Garrick Higgo,68,68,70,77,71,286,+6,"$39,000.00"
68,Nick Dunlap,69,72,66,72,78,288,+8,"$38,000.00"
69,Justin Rose,W/D,70,77,,,147,+7,$0.00
70,Michael Kim,W/D,72,72,,,144,+4,$0.00
71,Sahith Theegala,W/D,69,71,78,,218,+8,$0.00
