,Player,Position,R1,R2,R3,R4,Total,To Par,Money
0,Scottie Scheffler,1,70,70,68,70,278,-10,"$4,000,000.00"
1,Ben Griffin,2,65,72,72,73,282,-6,"$2,200,000.00"
2,Sepp Straka,3,74,73,66,70,283,-5,"$1,400,000.00"
3,Nick Taylor,4,69,68,74,73,284,-4,"$1,000,000.00"
4,Russell Henley,T5,74,68,73,71,286,-2,"$800,000.00"
5,Maverick McNealy,T5,75,72,69,70,286,-2,"$800,000.00"
6,Brandt Snedeker,T7,75,73,74,65,287,-1,"$603,200.00"
7,Tom Hoge,T7,73,69,75,70,287,-1,"$603,200.00"
8,Rickie Fowler,T7,72,73,69,73,287,-1,"$603,200.00"
9,Keegan Bradley,T7,69,76,68,74,287,-1,"$603,200.00"
10,Jordan Spieth,T7,72,69,72,74,287,-1,"$603,200.00"
11,Taylor Pendrith,T12,73,72,73,70,288,E,"$415,000.00"
12,Harris English,T12,71,73,73,71,288,E,"$415,000.00"
13,Sam Burns,T12,76,65,75,72,288,E,"$415,000.00"
14,Patrick Cantlay,T12,72,73,69,74,288,E,"$415,000.00"
15,Ludvig Åberg,T16,75,71,77,66,289,+1,"$319,000.00"
16,Akshay Bhatia,T16,70,69,80,70,289,+1,"$319,000.00"
17,Tommy Fleetwood,T16,72,75,72,70,289,+1,"$319,000.00"
18,Sungjae Im,T16,73,72,73,71,289,+1,"$319,000.00"
19,Collin Morikawa,T20,67,75,77,71,290,+2,"$250,666.67"
20,Robert MacIntyre,T20,71,74,73,72,290,+2,"$250,666.67"
21,Ryan Fox,T20,72,72,73,73,290,+2,"$250,666.67"
22,Ryan Gerard,T23,76,69,72,74,291,+3,"$208,000.00"
23,Shane Lowry,T23,69,72,73,77,291,+3,"$208,000.00"
24,Max Greyserman,T25,78,70,75,69,292,+4,"$159,000.00"
25,Viktor Hovland,T25,74,73,75,70,292,+4,"$159,000.00"
26,Cameron Young,T25,77,72,72,71,292,+4,"$159,000.00"
27,Matt Kuchar,T25,74,75,71,72,292,+4,"$159,000.00"
28,Corey Conners,T25,73,73,71,75,292,+4,"$159,000.00"
29,Xander Schauffele,T25,73,69,74,76,292,+4,"$159,000.00"
30,Matt Fitzpatrick,T31,76,73,76,68,293,+5,"$114,857.14"
31,Sam Stevens,T31,74,73,76,70,293,+5,"$114,857.14"
32,Si Woo Kim,T31,70,77,74,72,293,+5,"$114,857.14"
33,Tony Finau,T31,72,73,76,72,293,+5,"$114,857.14"
34,Adam Scott,T31,79,69,73,72,293,+5,"$114,857.14"
35,Justin Thomas,T31,80,69,71,73,293,+5,"$114,857.14"
36,Jacob Bridgeman,T31,73,71,71,78,293,+5,"$114,857.14"
37,Hideki Matsuyama,38,74,75,74,71,294,+6,"$94,000.00"
38,Alex Noren,T39,74,74,76,71,295,+7,"$82,000.00"
39,Thomas Detry,T39,74,74,74,73,295,+7,"$82,000.00"
40,Mackenzie Hughes,T39,73,71,77,74,295,+7,"$82,000.00"
41,Stephan Jaeger,T39,76,72,73,74,295,+7,"$82,000.00"
42,Bud Cauley,T39,71,74,75,75,295,+7,"$82,000.00"
43,Justin Rose,T44,78,66,80,72,296,+8,"$62,400.00"
44,Michael Kim,T44,78,71,74,73,296,+8,"$62,400.00"
45,Nick Dunlap,T44,74,74,75,73,296,+8,"$62,400.00"
46,Eric Cole,T44,72,72,76,76,296,+8,"$62,400.00"
47,Jhonattan Vegas,T44,74,73,73,76,296,+8,"$62,400.00"
48,Davis Thompson,T49,76,70,77,75,298,+10,"$53,000.00"
49,Min Woo Lee,T49,76,71,76,75,298,+10,"$53,000.00"
50,Harry Higgs,T51,72,75,77,75,299,+11,"$49,500.00"
51,Max Homa,T51,68,79,75,77,299,+11,"$49,500.00"
52,Andrew Novak,T51,70,77,75,77,299,+11,"$49,500.00"
53,Adam Hadwin,T51,76,73,72,78,299,+11,"$49,500.00"
54,Denny McCarthy,55,72,75,77,76,300,+12,"$47,000.00"
55,Wyndham Clark,56,78,71,77,75,301,+13,"$46,000.00"
56,Austin Eckroat,57,73,73,81,78,305,+17,"$45,000.00"
57,Matthieu Pavon,CUT,75,75,,,150,+6,$0.00
58,J.J. Spaun,CUT,76,74,,,150,+6,$0.00
59,Matti Schmid,CUT,75,75,,,150,+6,$0.00
60,Chris Kirk,CUT,75,76,,,151,+7,$0.00
61,Sahith Theegala,CUT,74,77,,,151,+7,$0.00
62,Christiaan Bezuidenhout,CUT,74,78,,,152,+8,$0.00
63,Aaron Rai,CUT,79,74,,,153,+9,$0.00
64,Joe Highsmith,CUT,76,77,,,153,+9,$0.00
65,Daniel Berger,CUT,81,72,,,153,+9,$0.00
66,J.T. Poston,CUT,77,76,,,153,+9,$0.00
67,Brian Harman,CUT,76,78,,,154,+10,$0.00
68,Lucas Glover,CUT,78,77,,,155,+11,$0.00
69,Byeong Hun An,CUT,74,81,,,155,+11,$0.00
70,Cam Davis,CUT,78,78,,,156,+12,$0.00
71,Brian Campbell,W/D,79,,,,79,+7,$0.00
